Column2,Month,Year,PO#,Invoice Date,Invoice#, total Invoice Amt ,TRS,Project2, Amount ,Cost Centre,Order#,Column3,Column1,,,,,,,,,,,,
vendor 1042,Mar,2022,6101206151,2022-03-31,275769," $22,844.75 ",SDS9089963,Student Records Management System - Project-228," $4,555.25 ",140548,311107202,ZDT,1,,,,,,,,,,,,
vendor 1042,Mar,2022,6101206151,2022-03-31,275769," $22,844.75 ",SDS9089877,Travel MB GP Upgrade to 2016 - 0, $650.75 ,165039,311107504,FVN,2,,,,,,,,,,,,
vendor 1042,Mar,2022,6101206151,2022-03-31,275769," $22,844.75 ",SDS9084483,Portable Benefit Form - XY11351, $274.00 ,205697,311107169,TT,3,,,,,,,,,,,,
vendor 1042,Mar,2022,6101206151,2022-03-31,275769," $22,844.75 ",SDS9089761,MI - HIS Replacement Project (Project-027)," $9,076.25 ",100013025,311107192,MV,4,,,,,,,,,,,,
vendor 1042,Mar,2022,6101206151,2022-03-31,275769," $22,844.75 ",SDS9090105,Corporater - Balanced Scorecard," $4,521.00 ",195403; IO 100013486; PO 4501231722,311107217,SKJ,5,,,,,,,,,,,,
vendor 1042,Mar,2022,6101206151,2022-03-31,275769," $22,844.75 ",SDS9089878,OPSFMS Sensor Layer (Project-206)," $3,596.25 ",940005067,311107200,ZDT,6,,,,,,,,,,,,
vendor 1042,Mar,2022,6101206151,2022-03-31,275769," $22,844.75 ",SDS9089456,Pandemic Planning, $171.25 ,200040925,311107166,MV,7,,,,,,,,,,,,
vendor 1011,Mar,2022,6101200502,2022-03-31,750," $17,242.50 ",SDS9090093,RFSO Transition Project -  Scope-1 (Project-214)," $3,960.00 ",171318,941192469,TTB,8,,,,,,,,,,,,
vendor 1011,Mar,2022,6101200502,2022-03-31,750," $17,242.50 ",SDS9090144,AGR - Replace LAB," $8,992.50 ",171318,941189792,TTB,9,,,,,,,,,,,,
vendor 1011,Mar,2022,6101200502,2022-03-31,750," $17,242.50 ",VPC7089572,TCF134 - Robotic Process Automation Sco," $4,290.00 ",171194,941184594,TTB,10,,,,,,,,,,,,
vendor 1002,Dec,2021,6101200217,2021-12-31,CINV0917534," $5,568.90 ",CON7088669,QR- Small Enhancements," $5,568.90 ",171318,941192356,TTB,11,,,,,,,,,,,,
vendor 1023,Mar,2022,6101187569,2022-03-31,IS-219907," $20,925.00 ",SDS9089754,262510-Maintenance," $3,071.25 ",195276,311107187,SKJ,12,,,,,,,,,,,,
vendor 1023,Mar,2022,6101187569,2022-03-31,IS-219907," $20,925.00 ",SDS9090230,All Charities – Maintenance, $472.50 ,110889,311107263,DRLL,13,,,,,,,,,,,,
vendor 1023,Mar,2022,6101187569,2022-03-31,IS-219907," $20,925.00 ",SDS9090235,TESA Vitality Replacement - Project-125," $1,113.75 ",160996,311107244,FLM,14,,,,,,,,,,,,
vendor 1023,Mar,2022,6101187569,2022-03-31,IS-219907," $20,925.00 ",SDS9090136,Open Data Portal - Scope-1, $911.25 ,930075523,311107211,TT,15,,,,,,,,,,,,
vendor 1023,Mar,2022,6101187569,2022-03-31,IS-219907," $20,925.00 ",SDS9090153,Aquarius Web Portal Project (Project-006) - Scope-1," $8,606.25 ",135072,311107233,STH,16,,,,,,,,,,,,
vendor 1023,Mar,2022,6101187569,2022-03-31,IS-219907," $20,925.00 ",SDS9090240,Flexible Data Management Application Assessment Report-Project-230," $5,670.00 ",135367,311107244,STH,17,,,,,,,,,,,,
vendor 1023,Mar,2022,6101187569,2022-03-31,IS-219907," $20,925.00 ",SDS9090266,Project-250-CUPE Payroll Conversion-Scope-1," $1,080.00 ",165212,511142894,VT,18,,,,,,,,,,,,
vendor 1027,Mar,2022,6101180579,2022-03-30,9202033701," $20,010.00 ",SDS9088861,Windows 10 21H2 Upgrade," $20,010.00 ",171318,941192282,ZNT,19,,,,,,,,,,,,
vendor 1014,Mar,2022,6101112913,2022-03-06,8084," $7,612.50 ",SDS9088861,Windows 10 21H2 Upgrade," $3,806.25 ",171318,941192282,ZNT,20,,,,,,,,,,,,
vendor 1014,Feb,2022,6101112913,2022-03-06,8084," $7,612.50 ",SDS9088861,Windows 10 21H2 Upgrade," $3,806.25 ",171318,941192282,ZNT,21,,,,,,,,,,,,
vendor 1014,Mar,2022,6101112913,2022-03-20,8109," $7,612.50 ",SDS9088861,Windows 10 21H2 Upgrade," $7,612.50 ",171318,941192282,ZNT,22,,,,,,,,,,,,
vendor 1014,Mar,2022,6101112913,2022-03-31,8135," $6,090.00 ",SDS9088861,Windows 10 21H2 Upgrade," $6,090.00 ",171318,941192282,ZNT,23,,,,,,,,,,,,
