Vendor,Month,Year,PO#,Invoice Date,Invoice#, total Invoice Amt ,TRS,Project, Amount ,Cost Centre,Order#,Dept
vendor 1039,Apr,2021,4501190248,2021-04-30,4," $18,850.00 ",SDS7089109,WSH LINK Replacement - D&I, $455.00 ,165239,300007147,FIN
vendor 1039,Apr,2021,4501190248,2021-04-30,4," $18,850.00 ",SDS7090144,AIMS Replacement (PDO-217)," $3,575.00 ",171318,930089792,BTT
vendor 1039,Apr,2021,4501190248,2021-04-30,4," $18,850.00 ",SDS7089063,Petrinex - D&I, $877.50 ,190230,300007150,ARD
vendor 1039,Apr,2021,4501190248,2021-04-30,4," $18,850.00 ",SDS7090248,M3P Vitality Upgrade - Implementation Phase - PDO-245," $4,062.50 ",195006,300007300,JUS
vendor 1039,Apr,2021,4501180577,2021-04-30,5," $18,850.00 ",SDS7089423,Civil Legal Billing System - Scoping," $5,005.00 ",171318,300007265,JUS
vendor 1039,Apr,2021,4501180577,2021-04-30,5," $18,850.00 ",SDS7084483,e-Licensing - D&I," $13,845.00 ",205697,300007169,CC
vendor 1039,Apr,2021,4501174431,2021-04-30,7," $8,303.75 ",CIO7080621,Procurement - Services," $8,303.75 ",171318,930092701,BTT
vendor 1039,Apr,2021,4501200163,2021-04-30,23," $17,110.00 ",SDS7089648,QE 2941 - Courts Modernization Implementation," $16,461.00 ",171194,300007183,JUS
vendor 1039,Apr,2021,4501200163,2021-04-30,23," $17,110.00 ",SDS7090144,AIMS Replacement (PDO-217), $649.00 ,171318,930089792,BTT
vendor 1039,May,2021,4501190248,2021-05-31,31," $6,727.50 ",SDS7090144,AIMS Replacement (PDO-217), $325.00 ,171318,930089792,BTT
vendor 1039,May,2021,4501190248,2021-05-31,31," $6,727.50 ",SDS7090248,M3P Vitality Upgrade - Implementation Phase - PDO-245, $195.00 ,195006,300007300,JUS
vendor 1039,May,2021,4501180577,2021-05-31,32," $18,850.00 ",SDS7089423,Civil Legal Billing System - Scoping," $3,315.00 ",171318,300007265,JUS
vendor 1039,May,2021,4501180577,2021-05-31,32," $18,850.00 ",SDS7084483,e-Licensing - D&I," $12,220.00 ",205697,300007169,CC
vendor 1039,May,2021,4501180577,2021-05-31,32," $18,850.00 ",SDS7089160,Grants Portal - Scoping," $3,315.00 ",215347,300007269,MR
vendor 1039,May,2021,4501174431,2021-05-31,34," $8,368.75 ",CIO7080621,Procurement - Services," $8,368.75 ",171318,930092701,BTT
vendor 1039,May,2021,4501200163,2021-05-31,46," $16,254.50 ",SDS7089648,QE 2941 - Courts Modernization Implementation," $15,664.50 ",171194,300007183,JUS
vendor 1039,May,2021,4501200163,2021-05-31,46," $16,254.50 ",SDS7090251,PDO-247-MB Child Care Search Tool - Scoping, $531.00 ,171318,300007502,FAM
vendor 1039,May,2021,4501200163,2021-05-31,46," $16,254.50 ",SDS7090144,AIMS Replacement (PDO-217), $59.00 ,171318,930089792,BTT
vendor 1012,Apr,2021,4501215854,2021-04-30,58," $4,350.00 ",CIO7090054,Microsoft 365 Project - Phase 2 (PDO-202)," $4,350.00 ",171225,930088172,BTT
vendor 1039,Jun,2021,4501180577,2021-06-30,60," $21,385.00 ",SDS7089423,Civil Legal Billing System - Scoping," $2,405.00 ",171318,300007265,JUS
vendor 1012,Apr,2021,4501215860,2021-04-30,60," $8,000.00 ",CIO7080641,Enterprise Architecture," $8,000.00 ",171318,930092584,BTT
vendor 1039,Jun,2021,4501180577,2021-06-30,60," $21,385.00 ",SDS7084483,e-Licensing - D&I," $9,262.50 ",205697,300007169,CC
vendor 1039,Jun,2021,4501180577,2021-06-30,60," $21,385.00 ",SDS7089160,Grants Portal - Scoping," $9,717.50 ",215347,300007269,MR
vendor 1039,Jun,2021,4501174431,2021-06-30,62," $7,556.25 ",CIO7080621,Procurement - Services," $7,556.25 ",171318,930092701,BTT
vendor 1012,May,2021,4501215860,2021-05-31,65," $32,875.00 ",CIO7080641,Enterprise Architecture," $32,812.50 ",171318,930092584,BTT
vendor 1012,May,2021,4501215854,2021-05-31,67," $21,750.00 ",CIO7090054,Microsoft 365 Project - Phase 2 (PDO-202)," $21,750.00 ",171225,930088172,BTT
vendor 1039,Jun,2021,4501200163,2021-06-30,75," $18,703.00 ",SDS7089648,QE 2941 - Courts Modernization Implementation," $18,113.00 ",171194,300007183,JUS
